Subject,거래소명,API 지원,HTTP 매수매도 지원,SDK 정보,API 문서 URL,개발 상태,추가 정보,로그인방식,apikey 생성,비고,초기자본,현재자본,단위
Paradex,Paradex,지원,지원,Python SDK (실험 단계),https://docs.paradex.trade/api/general-information,"현재 Python SDK는 실험 단계이며, 라이브러리 API는 변경될 수 있습니다.",Paradex는 REST API와 WebSocket API를 모두 지원합니다. REST API를 통해 매수/매도 주문 생성이 가능합니다.,구글,완료,,1000,,USDC
Hibachi,Hibachi,지원,지원,Python SDK가 PyPI와 GitHub 저장소에서 제공됩니다.,https://api-doc.hibachi.xyz/,"2024년 설립, API 문서 최종 업데이트는 2025년 6월경","REST API는 모든 기능에 접근 가능하며, 주문(place orders) 기능이 포함되어 HTTP를 통한 매수매도 주문이 가능합니다. Websocket API는 실시간 거래 및 데이터에 낮은 지연 시간으로 접근을 제공합니다.",구글,완료,ip 화리,1000,,USDT(ARB)
Extended,Extended,지원,지원,Python SDK 제공 (상세 구성 및 예제 포함),https://api.docs.extended.exchange/,Starknet으로의 마이그레이션 진행 중 (StarkEx에서 Starknet으로 전환 단계별 진행 중),"Extended는 하이브리드 중앙 지정가 주문장(CLOB) 거래소로 운영되며, 주문 처리, 매칭, 포지션 위험 평가 및 트랜잭션 시퀀싱은 오프체인에서 처리되고 거래 정산은 Starknet을 통해 온체인에서 이루어집니다. 사용자 자산의 자기 보관을 지원하며, 온체인 거래 로직 검증을 통해 신뢰할 수 있는 방식으로 운영됩니다.",TWT,완료,,1000,,USDC
Reya,Reya,지원,지원,Python SDK (GitHub: https://github.com/Reya-Labs/reya-python-sdk),https://docs.reya.xyz/technical-docs/reya-dex-rest-api-v2,"운영 중 (API 문서 마지막 업데이트 27일 전, Python SDK 최신 릴리스 2025년 9월 20일)","Reya DEX REST API v2는 매수매도 주문 관리 기능을 제공하며, Python SDK를 통해 Reya 생태계와 상호작용할 수 있습니다. WebSocket API도 지원하여 실시간 데이터 스트리밍이 가능합니다.",TWT,지갑key 사용,,1000,,USDC
TanX,TanX,지원,지원,"NodeJS, Python SDK 지원",https://docs.tanx.fi/tech/api-documentation,운영 중 (API 문서 마지막 업데이트 1년 전),"API 사용을 위해서는 ETH 지갑을 통한 TanX 계정 생성이 필요하며, 이를 통해 사용자 이름과 TanX 키를 발급받아야 합니다.",TWT,완료,키 2개,1000,,USDC
Ostium Labs,Ostium Labs,지원,"정보 없음 (REST API는 플랫폼 지표 및 상태 읽기 전용으로 보이며, 매수매도 주문 기능은 SDK를 통해 지원)",Python (v3.10) SDK 제공. PyPi 모듈 및 GitHub 코드베이스 공개.,https://ostium-labs.gitbook.io/ostium-docs/supporting-infrastructure/api-and-sdk,"메인넷 및 테스트넷 지원 (Arbitrum One, Arbitrum Sepolia)","SDK를 통해 Market, Limit, Stop 주문을 포함한 새로운 주문을 생성, 읽기, 편집 및 삭제할 수 있습니다. REST API는 주로 플랫폼 지표 및 상태를 읽는 데 사용됩니다.",TWT,지갑key 사용,RPC 필요,1000,,USDC
Pacifica,Pacifica,지원,지원,Python SDK (https://github.com/pacifica-fi/python-sdk) 제공,https://docs.pacifica.fi/api-documentation/api,현재 운영 중 (Last updated 3 months ago),"REST 및 Websocket API를 모두 제공하며, API를 통한 자동화된 거래 및 전략 통합을 지원합니다.",TWT,지갑key 사용,,1000,,USDC(SOL)
Based App,Based App,지원,지원,정보 없음,https://basedapp.gitbook.io/docs/developers/api-traders,현재 운영 중,"Based App은 Hyperliquid 거래소 엔드포인트를 통해 API 트레이딩을 지원하며, 샘플 주문 형식이 JSON으로 제공되어 HTTP를 통한 매수매도 주문이 가능함을 시사합니다. 명시적인 SDK 언어 정보는 찾지 못했습니다.",구글,지갑key 사용,"ased One은 자체 REST API를 제공하지 않습니다. Hyperliquid DEX의 퍼블릭 API를 통해 주문을 생성·취소하는 방식이며, 주문 JSON에 Based 빌더 주소·클라이언트 ID를 추가해 XP/포인트 적립을 받을 수 있습니다",925,,USDC
Backpack,Backpack,지원,지원,"Python, Rust 공식 SDK 지원. 비공식 SDK도 존재.",https://docs.backpack.exchange/,운영 중,"API는 ED25519 키페어를 통한 서명 요청으로 인증하며, 상태를 변경하는 모든 API 호출에 서명이 필요합니다. 웹소켓 API도 제공됩니다.",구글,완료,"Backpack Exchange에서 REST 주문을 넣으려면 포털에서 ED25519 API 키를 발급받아야 하고, 각 주문 요청은 ED25519 비밀키로 서명한 X‑Signature와 타임스탬프·윈도우 값을 헤더에 포함해야 합니다docs.backpack.exchange. 발급받은 X‑API‑Key(공개키)를 헤더에 넣고, POST /api/v1/order 엔드포인트에 주문 세부정보를 JSON으로 제공하면 매수·매도 주문을 실행할 수 있습니다docs.backpack.exchange.",1000,,USDT(SOL)
GRVT,GRVT,지원,지원,Python SDK (grvt-pysdk),https://api-docs.grvt.io/,운영 중,- ,구글,완료,,1000,,USDT(BSC)
Lighter,Lighter,지원,지원,"Python SDK (lighter-sdk, lighter-v1-python), Rust SDK (lighter-rust)",https://docs.lighter.xyz/,운영 중,"Lighter는 탈중앙화 거래 플랫폼으로, API 키를 통해 거래소와 상호작용할 수 있습니다. 시장가, 지정가, 손절매, 이익실현, TWAP 주문을 지원하며, HTTP를 통한 매수매도 주문이 가능합니다.",TWT,지갑key 사용,,1008,,USDC(ARB)
Edgex,Edgex,지원,지원 안함,IoT 관련 SDK (EdgeX Foundry),https://docs.edgexfoundry.org/,운영 중,"EdgeX는 IoT 엣지 컴퓨팅 플랫폼으로, IoT 장치 및 데이터 관리를 위한 API를 제공합니다. 암호화폐 거래를 위한 HTTP 매수매도 기능이나 SDK는 지원하지 않습니다.",TWT,완료,,990,,USDT(ARB)
Aster,Aster,지원,지원,정보 없음 (API 문서에 SDK 언급 없음),https://docs.asterdex.com/product/aster-pro/api,운영 중,"Aster는 영구 스왑 거래를 지원하는 탈중앙화 거래소로, API 키를 통해 계정을 연결하고 거래를 수행할 수 있습니다. HTTP를 통한 매수매도 주문이 가능합니다.",구글,완료,,1001,,USDT(ARB)
